YEARS,DESCRIPTION
1492,"Christopher Columbus reaches the Americas during his first voyage across the Atlantic."
1789,"The French Revolution begins, marked by the storming of the Bastille in Paris."
1789–1799,"The French Revolution develops into a decade of political and social upheaval in France."
1815,"Napoleon Bonaparte is defeated at the Battle of Waterloo, ending his rule as emperor."
1848,"Revolutions break out across Europe in a wave of political and social uprisings."
1861–1865,"The American Civil War is fought between the Union and the Confederacy."
1871,"The German Empire is proclaimed after the Franco-Prussian War."
1914,"World War I begins after the assassination of Archduke Franz Ferdinand and the subsequent crisis in Europe."
1914–1918,"World War I takes place across Europe and other regions, ending with the defeat of the Central Powers."
September 1939,"Germany invades Poland, leading Britain and France to declare war and marking the beginning of World War II in Europe."
1945,"World War II ends in Europe and Japan after the defeat of the Axis powers."
1969,"Apollo 11 lands on the Moon and Neil Armstrong becomes the first person to walk on its surface."
1989,"The Berlin Wall falls, becoming a major symbol of the collapse of communist rule in Eastern Europe."
1991,"The Soviet Union dissolves, ending the USSR and marking a major turning point in the post-Cold War world."
